# name	sentences	forms	annotator	sent	done	comment
wsj0091	8	212	kac	220418	220502	
wsj0092	12	295	les	220821	220822	
wsj0093	37	841	tem	220704	220726	
wsj0094	14	292	les	220628	220702	
wsj0095	9	210	toh	220901		
wsj0096	50	1776	kac	220614	220619	
wsj0097	40	947	lec	220816	220819	
wsj0098	19	560	kac	220413	220415	
wsj0099	4	101	kac	220310	220314	
wsj0100	42	890	tem	220728	220807	
wsj0101	21	776	kac	220618	220620	
wsj0102	47	827	tem	220808	220809	
wsj0103	20	540	kac	220511	220512	
wsj0104	2	30	kac	211006	211008	
wsj0105	35	871	kac	220901	220906	
wsj0106	5	110	tem	220811	220815	
wsj0107	14	480	kac	220506	220508	
wsj0108	65	1265	kac	220310	220319	
wsj0109	45	1010	toh	220429	220511	
wsj0110	32	784	tem	220902	220906	
wsj0111	24	569	kac	220719	220725	
wsj0112	57	1539				
wsj0113	25	603	kac	220131	220201	
wsj0114	39	836				
wsj0115	4	105	kac	220729	220825	
wsj0116	36	905	ivh	220909	220912	
wsj0117	22	561	toh	220515	220516	
wsj0118	185	4463	lec	220414	220816	
wsj0119	21	605				
wsj0120	50	1027	les	220628	220704	
wsj0121	50	978	toh	220109	220118	
wsj0122	3	77	lec	220215	220314	
wsj0123	20	479				
wsj0124	9	197	tem	220902		
wsj0125	49	1092	kac	211125	211206	
wsj0126	31	616	kac	220719	220725	
wsj0127	8	207	les	220720	220821	
wsj0128	44	1145	kac	220319	220321	
wsj0129	8	221	kac	220319	220322	
wsj0130	33	847	kac	220406	220411	
wsj0131	3	72	tem	220914		
wsj0132	8	191				
wsj0133	3	69				
wsj0134	6	128	kac	220901	220904	
wsj0135	5	117	kac	220729	220825	
wsj0136	6	173	les	220821	220822	
wsj0137	58	1211				
wsj0138	9	226	lec	220816	220819	
wsj0139	3	50	toh	220519	220523	
wsj0140	6	171	toh	220515	220516	
wsj0141	24	502	kac	220413	220415	
wsj0142	69	1621	kac	220108	220118	
wsj0143	2	61	lec	220414	220815	
wsj0144	8	228	ivh	220909	220912	
wsj0145	6	146	toh	220515	220516	
wsj0146	16	444	les	220821	220822	
wsj0147	4	130				
wsj0148	27	718	kac	220709	220710	
wsj0149	23	568				
wsj0150	9	170	kac	220325	220328	
wsj0151	8	219	kac	220704	220706	
wsj0152	7	165	kac	211202	211202	
wsj0153	20	494	lec	220319	220331	
wsj0154	5	137	tem	220616	220701	
wsj0155	54	1240				
wsj0156	7	180	tem	220902		
wsj0157	7	183	toh	220203	220214	
wsj0158	17	403				
wsj0159	9	223	tem	220902	220914	
wsj0160	5	144	kac	220225	220227	
wsj0161	5	148	kac	211006	211008	
wsj0162	43	1165	lec	220913		
wsj0163	7	177	kac	220319	220322	
wsj0164	7	167	toh	220314	220322	
wsj0165	7	189	les	220913	220913	
wsj0166	11	313	toh	220515	220516	
wsj0167	7	154				
wsj0168	6	148	toh	220422	220425	
wsj0169	7	156	toh	211105	211202	
wsj0170	8	166	toh	220404	220415	
wsj0171	9	187	kac	220131	220201	
wsj0172	7	185				
wsj0173	8	208	toh	220404	220415	
wsj0174	36	808	kac	211215	211219	
wsj0175	7	152	kac	220418	220502	
wsj0176	6	131				
wsj0177	10	208	toh	220314	220314	
wsj0178	31	589				
wsj0179	46	1020	kac	220701	220704	
wsj0180	8	212	kac	220325	220328	
wsj0181	9	236	lec	220215	220314	
wsj0182	8	193	toh	220505	220511	
wsj0183	8	227	toh	220216	220223	
wsj0184	16	342	kac	211202	211203	
wsj0185	3	37	kac	211006	211010	
wsj0186	41	979	kac	220618	220620	
wsj0187	12	279	les	220821	220822	
wsj0188	8	226	kac	220301	220303	
wsj0189	14	315	toh	220515	220516	
wsj0190	5	72	toh	220429	220430	
wsj0191	1	40	jah	220215	220218	
wsj0192	64	1335				
wsj0193	2	47	kac	220712	220713	
wsj0194	29	758	lec	220816	220819	
wsj0195	1	31	lec	211117	211126	
wsj0196	1	42	kac	211215	211219	
wsj0197	1	35	toh	211105	211202	
wsj0198	11	293	kac	220310	220319	
wsj0199	3	45	kac	220907	220908	
wsj0200	2	50	kac	211006	211010	
wsj0201	3	68				
wsj0202	4	51	ivh	220829	220903	
wsj0203	26	679	toh	220109	220131	
wsj0204	13	301	kac	220325	220328	
wsj0205	2	60	kac	211215	211219	
wsj0206	1	24	kac	220516	220519	
wsj0207	39	1006				
wsj0208	30	750	toh	220216	220224	
wsj0209	41	1003				
wsj0210	27	662	lec	211117	211126	
wsj0211	2	54	kac	211202	211203	
wsj0212	1	48	kac	220225	220227	
wsj0213	3	51	toh	220203	220209	
wsj0214	80	1531	ivh	220909	220914	
wsj0215	4	85	kac	211215	211219	
wsj0216	3	67	kac	220108	220109	
wsj0217	3	64	les	220720	220808	
wsj0218	2	67	kac	220301	220304	
wsj0219	32	765	tem	220811	220815	
wsj0220	7	120	kac	220618	220619	
wsj0221	2	44	toh	220515	220516	
wsj0222	3	88	kac	220225	220227	
wsj0223	3	56	lec	220816	220819	
wsj0224	48	1146	ivh	220725	220811	
wsj0225	4	95	kac	220301	220304	
wsj0226	1	51	toh	220404	220415	
wsj0227	5	85	toh	220404	220415	
wsj0228	2	49	tem	220704	220723	
wsj0229	9	159	kac	220131	220201	
wsj0230	3	99	toh	220515	220516	
wsj0231	54	1017	kac	220418	220502	
wsj0232	6	113	kac	220310	220314	
wsj0233	4	85	kac	220506	220508	
wsj0234	3	99	tem	220811		
wsj0235	4	89	lec	220414	220815	
wsj0236	3	71	toh	220109	220119	
wsj0237	3	93	luj	211006	211110	
wsj0238	24	410	kac	220907	220908	
wsj0239	59	1196				
wsj0240	15	388	kac	220506	220508	
wsj0241	3	136	kac	211215	211228	
wsj0242	29	748	kac	220516	220519	
wsj0243	5	112	luj	211006	211110	
wsj0244	6	125	ivh	220909	220914	
wsj0245	19	491	luj	211006	211110	
wsj0246	4	107	kac	220511	220512	
wsj0247	16	488	kac	220225	220227	
wsj0248	7	79	les	220628	220704	
wsj0249	1	39	toh	220515	220516	
wsj0250	25	708				
wsj0251	5	209	lec	220215	220314	
wsj0252	2	31	tem	220704	220723	
wsj0253	20	483	kac	211202	211203	
wsj0254	26	563	kac	220516	220519	
wsj0255	5	104	toh	220628	220719	
wsj0256	7	123	kac	220310	220314	
wsj0257	43	929	kac	220506	220509	
wsj0258	26	635	ivh	220909	220914	
wsj0259	18	508	tem	220808	220809	
wsj0260	3	112	kac	220709	220710	
wsj0261	16	414				
wsj0262	10	200	kac	220209	220209	
wsj0263	8	146	les	220913	220914	
wsj0264	2	77	toh	211006	211007	
wsj0265	11	369	kac	220907	220908	
wsj0266	6	127	toh	220602	220602	
wsj0267	100	2446	kac	211215	211219	
wsj0268	5	110	toh	220511	220511	
wsj0269	6	156				
wsj0270	2	89	kac	220418	220502	
wsj0271	54	1198	lec	211117	211206	mam
wsj0272	11	266	kac	211006	211012	mam
wsj0273	15	388	les	220821	220822	
wsj0274	38	893	lec	220215	220314	
wsj0275	28	664	lec	220913		
wsj0276	14	284	toh	211006	211007	
wsj0277	46	1220				
wsj0278	31	1016	toh	220511	220511	
wsj0279	17	523	toh	220314	220317	
wsj0280	58	1033	kac	220704	220707	
wsj0281	11	241	kac	220618	220619	
wsj0282	47	1252	toh	211117	211126	lrec2
wsj0283	42	1060	kac	220506	220509	
wsj0284	49	1093				
wsj0285	7	208	lec	220816	220819	
wsj0286	100	2205	toh	211006	211018	mam
wsj0287	6	136	kac	211125	211126	
wsj0288	44	1159	kac	220301	220305	
wsj0289	7	213	toh	220628	220719	
wsj0290	59	1390	tem	220914	220915	
wsj0291	7	241				
wsj0292	11	261	toh	220314	220317	
wsj0293	44	1088				
wsj0294	29	616	kac	220108	220118	
wsj0295	63	1349	toh	220314	220327	
wsj0296	66	1370	tem	220914	220915	
wsj0297	50	1192	kac	220413	220416	
wsj0298	9	225	ivh	220909	220915	
wsj0299	10	199	ivh	220829	220903	
wsj0300	44	939	kac	211202	211206	
wsj0301	49	1267	toh	220227	220303	
wsj0302	7	198				
wsj0303	6	151	kac	220618	220619	
wsj0304	26	599	kac	220131	220209	
wsj0305	54	1341	kac	220907	220913	
wsj0306	7	225	toh	220628	220719	
wsj0307	6	166	kac	220225	220227	
wsj0308	18	486	kac	220530	220612	
wsj0309	32	700	les	220628	220708	
wsj0310	8	163	kac	220209	220209	
wsj0311	9	209	kac	220704	220706	
wsj0312	7	72	toh	220511	220512	
wsj0313	8	200	toh	220519	220523	
wsj0314	47	1093	kac	220511	220513	
wsj0315	8	127	kac	220301	220304	
wsj0316	6	158	jah	211019	211108	
wsj0317	70	1783	lec	220414	220816	
wsj0318	5	102	toh	220422	220425	
wsj0319	23	488				
wsj0320	4	118	kac	220108	220115	
wsj0321	7	173	toh	211105	211209	
wsj0322	30	541	lec	220414	220816	
wsj0323	6	134	tem	220902		
wsj0324	4	104				
wsj0325	8	187	kac	220418	220502	
wsj0326	29	792	toh	220325	220419	
wsj0327	62	1336				
wsj0328	36	1124				
wsj0329	5	181	kac	220418	220502	
wsj0330	6	140	les	220821	220822	
wsj0331	49	980	kac	220511	220513	
wsj0332	7	177	kac	220310	220314	
wsj0333	7	157	toh	220505	220506	
wsj0334	9	235	toh	220429	220511	
wsj0335	35	1021	lec	220816	220819	
wsj0336	22	496	les	220913	220914	
wsj0337	4	120				
wsj0338	7	182	kac	220418	220502	
wsj0339	18	390	toh	220203	220214	
wsj0340	6	153	kac	220516	220519	
wsj0341	7	211	kac	220209	220209	
wsj0342	6	166	kac	211202	211207	
wsj0343	17	504	kac	220907	220913	
wsj0344	8	271	kac	220307	220308	
wsj0345	43	1298	lec	220319	220331	
wsj0346	7	183	toh	220519	220523	
wsj0347	31	726				
wsj0348	8	205	lec	220215	220314	
wsj0349	62	1436	kac	220307	220309	
wsj0350	31	634	ivh	220829	220905	
wsj0351	84	1899	les	220913	220915	
wsj0352	5	149				
wsj0353	8	238	lec	220816	220819	
wsj0354	17	426				
wsj0355	5	108	toh	220325	220328	
wsj0356	5	144	kac	220901	220907	
wsj0357	9	171				
wsj0358	9	304	lec	220414	220815	
wsj0359	57	1135	kac	220319	220331	
wsj0360	38	993	kac	220413	220423	
wsj0361	23	595	ivh	220909	220915	
wsj0362	10	315	toh	220314	220327	
wsj0363	11	293	kac	211215	211219	
wsj0364	5	77	les	220720	220731	
wsj0365	2	31	toh	220422	220425	
wsj0366	1	31	toh	220216	220224	
wsj0367	52	1135	toh	220505	220511	
wsj0368	2	41	toh	220429	220430	
wsj0369	3	42	tem	220811	220819	
wsj0370	2	42	lec	220319	220331	
wsj0371	2	110	tem	220704	220723	
wsj0372	3	69	tem	220902		
wsj0373	18	442	tem	220704	220724	
wsj0374	53	1128				
wsj0375	3	92	lec	220816	220819	
wsj0376	16	429	kac	220618	220619	
wsj0377	5	124	tem	220616	220701	
wsj0378	2	40	kac	220319	220323	
wsj0379	4	129				
wsj0380	5	114				
wsj0400	88	2061	kac	220209	220211	
wsj0401	9	204	kac	211006	211014	
wsj0402	6	135	toh	220602	220602	
wsj0403	9	91	toh	220901		
wsj0404	27	758	kac	211006	211014	
wsj0405	46	971	luj	211006	211110	
wsj0406	18	389	kac	220530	220612	
wsj0407	8	228	kac	220131	220201	
wsj0408	13	380	kac	220301	220304	
wsj0409	84	1672	toh	220628	220721	
wsj0410	2	33	luj	220906	220913	
wsj0411	5	127	kac	211006	211014	
wsj0412	4	85	kac	220701	220703	
wsj0413	84	1491	les	220826	220910	
wsj0414	55	1064	luj	211006	211117	mam
wsj0415	40	1142				
wsj0416	43	954	tem	220811	220819	
wsj0417	8	238				
wsj0418	4	64	toh	220901		
wsj0419	14	394	kac	220310	220314	
wsj0420	4	76	kac	220704	220706	
wsj0421	3	82				
wsj0422	41	796	toh	220901		
wsj0423	35	805	tem	220704	220727	
wsj0424	3	56	luj	220906	220913	
wsj0425	2	41	lec	220319	220331	
wsj0426	50	1156	kac	220307	220319	
wsj0427	11	247				
wsj0428	3	63				
wsj0429	8	258	kac	211215	211228	
wsj0430	24	413				
wsj0431	3	53	kac	220701	220703	
wsj0432	2	47	kac	211215	220110	
wsj0433	4	49	toh	220515	220516	
wsj0434	10	184	toh	211006	211105	
wsj0435	15	457	toh	220901		
wsj0436	34	792	kac	220301	220305	
wsj0437	52	1049	kac	220709	220710	
wsj0438	3	73	kac	220719	220725	
wsj0439	55	1526				
wsj0440	17	452	kac	220511	220515	
wsj0441	16	488	kac	220511	220515	
wsj0442	16	499	lec	220215	220314	
wsj0443	24	600	kac	220310	220314	
wsj0444	20	403	toh	220505	220507	
wsj0445	117	2446				
wsj0446	49	1238				
wsj0447	21	529				
wsj0448	11	387	toh	220404	220415	
wsj0449	56	1539	toh	211006	211025	mam
wsj0450	44	1055	tem	220616	220727	
wsj0451	18	427				
wsj0452	23	645				
wsj0453	53	1185	les	220720	220802	
wsj0454	2	34	toh	220429	220430	
wsj0455	38	1045				
wsj0456	26	538				
wsj0457	33	745	ALL			learn
wsj0458	8	215				
wsj0459	4	55	tem	220902	220913	
wsj0460	4	76				
wsj0461	13	345	kac	220310	220314	
wsj0462	12	421				
wsj0463	3	111	toh	220628	220721	
wsj0464	42	962	lec	211117	211214	mam
wsj0465	95	2294	les	220720	220913	
wsj0466	41	935	lec	220816	220819	
wsj0467	45	1081	lec	220414	220816	
wsj0468	2	107	toh	211105	211202	
wsj0469	56	1212	lec	220215	220314	
wsj0470	12	565	tem	220820		
wsj0471	5	122	kac	211006	211021	
wsj0472	40	1009	toh	220505	220507	
wsj0473	29	977	tem	220820	220913	
wsj0474	19	589	ivh	220829	220905	
wsj0475	25	664	kac	220216	220218	
wsj0476	33	652				
wsj0477	35	896	toh	220227	220303	
wsj0478	5	155	toh	220404	220415	
wsj0479	5	180	kac	220310	220314	
wsj0480	7	177	toh	220519	220523	
wsj0481	7	180				
wsj0482	8	225	tem	220811	220815	
wsj0483	7	194	ivh	220725	220726	
wsj0484	7	182	les	220821	220823	
wsj0485	19	582	kac	220618	220620	
wsj0486	7	151	kac	220511	220513	
wsj0487	5	160	jah	220215	220220	
wsj0488	29	678	kac	220131	220202	
wsj0489	6	156	les	220720	220802	
wsj0490	36	769	les	220913	220917	
wsj0491	4	96	lec	211117	211214	
wsj0492	7	169	kac	211202	211207	
wsj0493	31	679	kac	211215	211231	
wsj0494	6	177	toh	220314	220317	
wsj0495	5	130	kac	220729	220825	
wsj0496	10	234	kac	220216	220218	
wsj0497	6	181	kac	220301	220304	
wsj0498	6	176	lec	220913		
wsj0499	6	175	tem	220616	220701	
wsj0500	4	152	kac	220108	220115	
wsj0501	31	550	toh	211006	211105	
wsj0502	6	150	tem	220728	220730	
wsj0503	4	99	lec	211117	211219	
wsj0504	22	615	toh	220422	220425	
wsj0505	9	197	toh	211105	220106	
wsj0506	5	131	kac	220506	220508	
wsj0507	4	84	tem	220811	220913	
wsj0508	14	318				
wsj0509	25	502	toh	211105	211202	
wsj0510	4	101	toh	220901		
wsj0511	5	79	kac	220530	220609	
wsj0512	3	31	lec	220215	220314	
wsj0513	2	63	toh	220325	220328	
wsj0514	3	51	kac	220712	220713	
wsj0515	72	1399	kac	220709	220710	
wsj0516	3	57	tem	220811	220827	
wsj0517	3	56				
wsj0518	38	999	kac	220307	220309	
wsj0519	4	85				
wsj0520	15	463	les	220826	220909	
wsj0521	2	33	ivh	220725	220726	
wsj0522	3	62	kac	220701	220703	
wsj0523	6	98	tem	220902		
wsj0524	77	1487	toh	220227	220314	
wsj0525	42	1128	toh	211006	211105	
wsj0526	43	1205	tem	220902	220912	
wsj0527	16	365	toh	220805	220813	
wsj0528	22	480	kac	211215	220108	
wsj0529	14	345	tat	220914	220915	
wsj0530	48	1128	kac	220901	220906	
wsj0531	6	98	tem	220616	220701	
wsj0532	21	475				
wsj0533	16	452	lec	211117	211219	
wsj0534	4	114	toh	211105	211209	
wsj0535	5	94	tem	220820	220901	
wsj0536	2	46	toh	220203	220209	
wsj0537	21	675	kac	220907	220913	
wsj0538	1	39	kac	220131	220202	
wsj0539	5	96	lec	220814	220816	
wsj0540	6	169	tem	220616	220701	
wsj0541	6	134	toh	220429	220430	
wsj0542	12	378	ivh	220829	220905	
wsj0543	2	40	kac	220307	220308	
wsj0544	4	92				
wsj0545	6	132	ivh	220829	220903	
wsj0546	13	308	kac	220406	220411	
wsj0547	2	63	lec	211117	211219	
wsj0548	3	66	toh	220109	220117	
wsj0549	2	44	kac	220709	220710	
wsj0550	38	936				
wsj0551	3	70	toh	220505	220507	
wsj0552	43	987				
wsj0553	61	1324				
wsj0554	47	1238	tem	220902	220912	
wsj0555	4	76	lec	211117	211219	
wsj0556	25	612	kac	211006	211021	
wsj0557	19	524	luj	220906		
wsj0558	12	320				
wsj0559	37	820	jah	220215	220218	
wsj0560	29	820	luj	211006	211130	
wsj0561	48	1208	kac	220406	220411	
wsj0562	47	1030	ivh	220829	220906	
wsj0563	17	542	kac	220516	220519	
wsj0564	58	1238	kac	220618	220620	
wsj0565	4	84	toh	220429	220501	
wsj0566	18	407	luj	220906		
wsj0567	11	366	kac	220516	220519	
wsj0568	37	994				
wsj0569	58	1144				
wsj0570	16	427	kac	220614	220616	
wsj0571	42	899	kac	220729	220827	
wsj0572	2	52	kac	211202	211207	
wsj0573	20	416	lec	220816	220819	
wsj0574	6	100	toh	220203	220209	
wsj0575	38	882	kac	220325	220405	
wsj0576	57	1471				mam
wsj0577	4	158	toh	220203	220209	
wsj0578	61	1705	toh	220519	220609	
wsj0579	5	103				
wsj0580	21	539	toh	220404	220415	
wsj0581	6	160				
wsj0582	5	113	kac	220307	220308	
wsj0583	34	993	toh	220314	220327	
wsj0584	48	1186	toh	220216	220314	
wsj0585	61	1375	kac	220406	220415	
wsj0586	46	1089				
wsj0587	34	729	kac	211215	220104	
wsj0588	5	123	kac	220729	220825	
wsj0589	64	1560	luj	220906		
wsj0590	30	823				
wsj0591	41	987	lec	220319	220331	
wsj0592	44	950	jah	220215	220218	
wsj0593	2	37	toh	220429	220501	
wsj0594	10	108	tem	220902		
wsj0595	37	999	kac	211006	211022	
wsj0596	36	745				
wsj0597	7	203				
wsj0598	43	851				
wsj0599	7	175	toh	220628	220721	
wsj0600	2	36	toh	220422	220425	
wsj0601	29	810	toh	220515	220519	
wsj0602	34	793	kac	220301	220305	
wsj0603	2	37	kac	220307	220308	
wsj0604	58	1448	les	220628	220712	
wsj0605	2	34	les	220826	220912	
wsj0606	23	540	ivh	220829	220906	
wsj0607	8	186				
wsj0608	2	29	kac	220406	220411	
wsj0609	48	1348	toh	220515	220519	
wsj0610	44	997	kac	220216	220218	
wsj0611	2	46	toh	220628	220721	
wsj0612	9	281				
wsj0613	6	174	toh	220404	220415	
wsj0614	2	31	toh	220805	220813	
wsj0615	7	154	kac	220319	220323	
wsj0616	36	773	kac	220418	220505	
wsj0617	61	1538	lec	220319	220407	
wsj0618	9	275				
wsj0619	23	508	tat	220914		
wsj0620	7	246	toh	220628	220721	
wsj0621	8	203	toh	220216	220224	
wsj0622	8	209				
wsj0623	15	282	tem	220728	220730	
wsj0624	9	216	lec	220913		
wsj0625	10	237	les	220720	220802	
wsj0626	7	202	kac	220209	220209	
wsj0627	25	671	toh	220109	220118	
wsj0628	32	745				
wsj0629	70	1459				
wsj0630	7	225	toh	211105	211209	
wsj0631	7	167	kac	220901	220904	
wsj0632	24	677				
wsj0633	88	1844	kac	220614	220617	
wsj0634	23	541	kac	220225	220227	
wsj0635	6	170	toh	220505	220507	
wsj0636	5	146				
wsj0637	9	172				
wsj0638	17	461	kac	220516	220519	
wsj0639	7	142	kac	220618	220619	
wsj0640	22	473	kac	220406	220411	
wsj0641	11	250				
wsj0642	4	135	kac	220516	220525	
wsj0643	6	152				
wsj0644	2	59	toh	220404	220415	
wsj0645	8	220	lec	220319	220407	
wsj0646	3	76	luj	220906		
wsj0647	7	208				
wsj0648	24	797	toh	220216	220224	
wsj0649	7	185	tem	220704	220723	
wsj0650	3	77	kac	220618	220619	
wsj0651	8	167	kac	220225	220227	
wsj0652	7	165	kac	220225	220227	
wsj0653	8	225				
wsj0654	9	200	tem	220902		
wsj0655	28	832	kac	220413	220418	
wsj0656	9	205				
wsj0657	10	238	kac	220406	220411	
wsj0658	7	194	lec	211117	211219	
wsj0659	8	209	jah	220215	220220	
wsj0660	7	145	kac	220709	220710	
wsj0661	10	272				
wsj0662	8	172	kac	220719	220725	
wsj0663	7	182	kac	220701	220703	
wsj0664	80	1760	kac	220307	220311	
wsj0665	5	144				
wsj0666	38	846	kac	220729	220827	
wsj0667	8	214	kac	220216	220228	
wsj0668	7	128	kac	220907	220914	
wsj0669	8	234	toh	220511	220512	
wsj0670	10	240	kac	220729	220825	
wsj0671	73	1645				
wsj0672	10	282	kac	220704	220706	
wsj0673	7	189	toh	220602	220602	
wsj0674	11	338	kac	220907	220914	
wsj0675	32	619	tem	220704	220728	
wsj0676	21	374	kac	220108	220115	
wsj0677	25	588	lec	220913		
wsj0678	25	603	tem	220808	220809	
wsj0679	8	223				
wsj0680	11	93				
wsj0681	82	1934	kac	220511	220516	
wsj0682	14	376	toh	220216	220224	
wsj0683	16	453	kac	220319	220323	
wsj0684	4	74	kac	220418	220505	
wsj0685	2	56	toh	220227	220304	
wsj0686	24	841	kac	220712	220715	
wsj0687	43	871	kac	220225	220227	
wsj0688	18	416	tem	220704	220725	
wsj0689	55	1253				
wsj0690	28	719				
wsj0691	2	53				
wsj0692	69	1450				
wsj0693	36	1009				
wsj0694	14	268	lec	220215	220314	
wsj0695	11	261	kac	220225	220227	
wsj0696	5	77	ivh	220725	220730	
wsj0697	7	167	kac	220704	220706	
wsj0698	2	56	kac	220719	220725	
wsj0699	2	47	kac	220319	220323	
wsj0700	45	1045	toh	220109	220131	
wsj0701	17	410	toh	220404	220415	
wsj0702	16	371				
wsj0703	2	44	kac	211215	220104	
wsj0704	49	1263	toh	220602	220622	
wsj0705	3	75				
wsj0706	6	144	toh	220511	220512	
wsj0707	3	82	lec	220319	220331	
wsj0708	3	57	kac	220225	220227	
wsj0709	5	114	kac	220516	220525	
wsj0710	3	59	toh	220519	220525	
wsj0711	2	71	kac	220516	220525	
wsj0712	6	180	kac	220216	220222	
wsj0713	5	139	kac	220530	220612	
wsj0714	8	181				
wsj0715	3	76	toh	220511	220512	
wsj0716	3	71	kac	220530	220612	
wsj0717	4	118	kac	211215	220104	
wsj0718	4	98	toh	220511	220512	
wsj0719	50	1206	tem	220820	220828	
wsj0720	2	74	tem	220808	220809	
wsj0721	4	87	kac	220729	220827	
wsj0722	6	153	lec	211117	211219	
wsj0723	22	496	toh	220109	220129	
wsj0724	1	33	jah	211019	211031	
wsj0725	127	2489	les	220821	220826	
wsj0726	9	243	lec	220816	220819	
wsj0727	6	197	lec	220816	220819	
wsj0728	20	464	kac	220530	220612	
wsj0729	2	36	toh	220429	220501	
wsj0730	50	974	jah	211019	211111	mam
wsj0731	3	51	kac	211202	211207	
wsj0732	22	455	toh	220628	220721	
wsj0733	3	71	ivh	220829	220903	
wsj0734	5	133	lec	220816	220819	
wsj0735	10	267				
wsj0736	10	223	tem	220902	220914	
wsj0737	3	50	kac	220319	220323	
wsj0738	3	42	ivh	220909	220916	
wsj0739	20	443	lec	220814	220816	
wsj0740	4	80	lec	220913		
wsj0741	37	856	kac	220413	220425	
wsj0742	68	1494				
wsj0743	9	209	kac	220108	220115	
wsj0744	9	201	toh	220515	220519	
wsj0745	29	782	jah	211019	220215	mam
wsj0746	9	224	kac	220511	220516	
wsj0747	20	413	toh	220901		
wsj0748	25	689				
wsj0749	58	1112	ivh	220829	220908	
wsj0750	20	424	kac	211125	211129	
wsj0751	4	81	kac	220319	220323	
wsj0752	4	88	toh	220429	220501	
wsj0753	5	86	kac	220618	220619	
wsj0754	2	46				
wsj0755	30	697	lec	211117	220114	mam
wsj0756	46	904	toh	220404	220415	
wsj0757	9	97	kac	220704	220706	learn
wsj0758	77	1627	les	220826	220910	
wsj0759	17	502	ivh	220829	220908	
wsj0760	13	318	kac	220719	220725	
wsj0761	48	1099	toh	220805	220820	
wsj0762	5	114	lec	220814	220816	
wsj0763	9	243	tem	220811	220815	
wsj0764	43	801	jah	211019	220115	
wsj0765	109	2802	toh	220314	220327	
wsj0766	93	1778	tat	220914		
wsj0767	28	751				
wsj0768	39	929	kac	220209	220209	
wsj0769	30	705	kac	220704	220707	
wsj0770	7	233				
wsj0771	54	973	toh	220602	220622	
wsj0772	12	311	tem	220914	220917	
wsj0773	34	877				
